lon,lat,tile_ID,comm_ID,geometry
113.811224249,22.7778099838,1980,112.0,"POLYGON ((113.816182007 22.782235535,113.815996703 22.7732127970001,113.806266819 22.773384296,113.806451485 22.7824071090001,113.816182007 22.782235535))"
113.820954405,22.7776381515,1981,129.0,"POLYGON ((113.825912435 22.7820633690001,113.825726493 22.773040707,113.815996703 22.7732127970001,113.816182007 22.782235535,113.825912435 22.7820633690001))"
113.830684467,22.7774657276,1982,129.0,"POLYGON ((113.83564277 22.7818906110001,113.835456189 22.772868025,113.825726493 22.773040707,113.825912435 22.7820633690001,113.83564277 22.7818906110001))"
113.840414435,22.7772927113,1983,129.0,"POLYGON ((113.845373009 22.78171726,113.84518579 22.7726947510001,113.835456189 22.772868025,113.83564277 22.7818906110001,113.845373009 22.78171726))"
113.850144308,22.777119103,1984,129.0,"POLYGON ((113.855103154 22.781543318,113.854915297 22.7725208850001,113.84518579 22.7726947510001,113.845373009 22.78171726,113.855103154 22.781543318))"
113.859874086,22.776944903,1985,129.0,"POLYGON ((113.864833203 22.7813687840001,113.864644708 22.7723464270001,113.854915297 22.7725208850001,113.855103154 22.781543318,113.864833203 22.7813687840001))"
113.869603768,22.776770111,1986,106.0,"POLYGON ((113.874563157 22.781193657,113.874374024 22.772171378,113.864644708 22.7723464270001,113.864833203 22.7813687840001,113.874563157 22.781193657))"
113.879333356,22.7765947273,1987,144.0,"POLYGON ((113.884293016 22.7810179390001,113.884103245 22.7719957370001,113.874374024 22.772171378,113.874563157 22.781193657,113.884293016 22.7810179390001))"
113.889062847,22.7764187515,1988,106.0,"POLYGON ((113.894022778 22.780841628,113.893832369 22.7718195040001,113.884103245 22.7719957370001,113.884293016 22.7810179390001,113.894022778 22.780841628))"
113.898792242,22.7762421838,1989,106.0,"POLYGON ((113.903752443 22.7806647260001,113.903561396 22.771642679,113.893832369 22.7718195040001,113.894022778 22.780841628,113.903752443 22.7806647260001))"
113.90852154,22.7760650245,1990,106.0,"POLYGON ((113.913482012 22.780487232,113.913290327 22.7714652630001,113.903561396 22.771642679,113.903752443 22.7806647260001,113.913482012 22.780487232))"
113.918250741,22.7758872735,1991,106.0,"POLYGON ((113.923211484 22.780309146,113.923019161 22.7712872550001,113.913290327 22.7714652630001,113.913482012 22.780487232,113.923211484 22.780309146))"
113.927979845,22.7757089305,1992,106.0,"POLYGON ((113.932940858 22.7801304670001,113.932747898 22.771108656,113.923019161 22.7712872550001,113.923211484 22.780309146,113.932940858 22.7801304670001))"
113.937708852,22.7755299958,1993,131.0,"POLYGON ((113.942670135 22.7799511980001,113.942476536 22.7709294640001,113.932747898 22.771108656,113.932940858 22.7801304670001,113.942670135 22.7799511980001))"
113.94743776,22.7753504695,1994,114.0,"POLYGON ((113.952399314 22.779771336,113.952205077 22.770749682,113.942476536 22.7709294640001,113.942670135 22.7799511980001,113.952399314 22.779771336))"
113.957166571,22.7751703513,1995,131.0,"POLYGON ((113.962128394 22.779590882,113.961933519 22.7705693070001,113.952205077 22.770749682,113.952399314 22.779771336,113.962128394 22.779590882))"
113.966895283,22.7749896412,1996,131.0,"POLYGON ((113.971857375 22.7794098370001,113.971661863 22.770388341,113.961933519 22.7705693070001,113.962128394 22.779590882,113.971857375 22.7794098370001))"
113.976623896,22.77480834,1997,65.0,"POLYGON ((113.981586258 22.7792282,113.981390108 22.770206784,113.971661863 22.770388341,113.971857375 22.7794098370001,113.981586258 22.7792282))"
113.98635241,22.774626447,1998,151.0,"POLYGON ((113.991315041 22.7790459710001,113.991222423541 22.7748001164781,113.991157999442 22.7746870004048,113.990979999328 22.7745080002441,113.990718999882 22.7743310001755,113.990538999675 22.7742160002683,113.990406999883 22.7741649997151,113.990276999284 22.77412200043,113.990278999376 22.774021000269,113.990333000068 22.7739270004308,113.990333999215 22.7738010000162,113.990320999515 22.7736260000399,113.990338999445 22.7735069999481,113.99039 22.7734069998333,113.990497999583 22.7732550000183,113.990739999951 22.7729510003884,113.990889999674 22.7728019998125,113.990937999189 22.7726629996977,113.990939999282 22.7725600003438,113.990943999466 22.7725089997906,113.990988999743 22.7723650003446,113.991069999881 22.7722009999762,113.991098999419 22.7721050000458,113.991084999673 22.7719930002768,113.991081999535 22.7719029997237,113.991117999396 22.7716299997248,113.991151129562 22.7715317925047,113.991118253 22.7700246350001,113.981390108 22.770206784,113.981586258 22.7792282,113.991315041 22.7790459710001))"
